"['A20', '2023-01-11', '2023-01-11', '1941', 'Bank F', '', '', 'E-tryckeriet', '', '', '5947']","['A20', '2023-01-11', '2023-01-11', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'E-tryckeriet', 'Se A1853 2022', '5947', '']",611,83139,0741326839,Företagskonto,SEK,2023-01-11,2023-01-11,2023-01-11,E-tryckeriet,Bg-bet. via internet,-5947.00,90090.92
"['A21', '2023-01-12', '2023-03-02', '1941', 'Bank F', '', '', 'Tillstï¿½nd Farad 1feb', '', '', '1400']","['A21', '2023-01-12', '2023-03-02', '4210', 'Arrangemangskostnad', 'FNU2', '', 'Tillstï¿½nd Farad 1feb', '', '1400', '']",606,83139,0741326839,Företagskonto,SEK,2023-01-12,2023-01-12,2023-01-12,FETSM 1,Bg-bet. via internet,-1400.00,70960.92
"['A22', '2023-01-12', '2023-03-02', '1941', 'Bank F', '', '', 'Tillstï¿½nd Farad 2feb', '', '', '1400']","['A22', '2023-01-12', '2023-03-02', '4210', 'Arrangemangskostnad', 'FNU2', '', 'Tillstï¿½nd Farad 2feb', '', '1400', '']",607,83139,0741326839,Företagskonto,SEK,2023-01-12,2023-01-11,2023-01-11,Tillstånd Farad,Bg-bet. via internet,-1400.00,72360.92
"['A23', '2023-01-12', '2023-01-12', '1941', 'Bank F', '', '', 'Tillstï¿½nd FETSM', '', '', '1400']","['A23', '2023-01-12', '2023-01-12', '6950', 'Avgift till myndighet', 'SEX1', '', 'Tillstï¿½nd FETSM', '', '1400', '']",608,83139,0741326839,Företagskonto,SEK,2023-01-12,2023-01-11,2023-01-11,Tillstånd Farad,Bg-bet. via internet,-1400.00,73760.92
"['A24', '2023-01-13', '2023-01-13', '1941', 'Bank F', '', '', 'C-cert Prov', '', '', '1200']","['A24', '2023-01-13', '2023-01-13', '6950', 'Avgift till myndighet', 'SEX1', '', 'C-cert Prov', '', '1200', '']",604,83139,0741326839,Företagskonto,SEK,2023-01-13,2023-01-13,2023-01-13,LUNDS KOMMUN,Bg-bet. via internet,-1200.00,105760.92
"['A26', '2023-01-11', '2023-01-16', '1941', 'Bank F', '', '', 'Kundbet Teknologkï¿½ren vid LTH (1795)', '', '1180', '']","['A26', '2023-01-11', '2023-01-16', '1610', 'Fordringar', '', '', 'Kundbet Teknologkï¿½ren vid LTH (1795)', '', '', '1180']",609,83139,0741326839,Företagskonto,SEK,2023-01-11,2023-01-11,2023-01-12,6428437,Bankgiro inbetalning,1180.00,75160.92
"['A27', '2023-01-12', '2023-01-16', '1941', 'Bank F', '', '', 'Kundbet Ericsson AB (1798)', '', '36000', '']","['A27', '2023-01-12', '2023-01-16', '1610', 'Fordringar', '', '', 'Kundbet Ericsson AB (1798)', '', '', '36000']",605,83139,0741326839,Företagskonto,SEK,2023-01-12,2023-01-12,2023-01-13,6428437,Bankgiro inbetalning,36000.00,106960.92
"['A28', '2023-01-16', '2023-01-16', '1941', 'Bank F', '', '', 'Kundbet Herman Zachen (1784)', '', '220', '']","['A28', '2023-01-16', '2023-01-16', '1610', 'Fordringar', '', '', 'Kundbet Herman Zachen (1784)', '', '', '220']",603,83139,0741326839,Företagskonto,SEK,2023-01-16,2023-01-16,2023-01-17,6428437,Bankgiro inbetalning,220.00,105980.92
"['A29', '2023-01-17', '2023-01-17', '1941', 'Bank F', '', '', 'Adobe creative clouds', '', '', '6243']","['A29', '2023-01-17', '2023-01-17', '5420', 'Programvaror', 'SAN1', '', 'Adobe creative clouds', '', '6243', '']",601,83139,0741326839,Företagskonto,SEK,2023-01-17,2023-01-17,2023-01-17,Adobe creative c,Bg-bet. via internet,-6243.00,79737.92
"['A30', '2023-01-23', '2023-01-23', '1941', 'Bank F', '', '', 'Bilfï¿½rsï¿½kring', '', '', '1952']","['A30', '2023-01-23', '2023-01-23', '5612', 'Fï¿½rsï¿½kring och skatt fï¿½r personbilar', 'PRY2', '', 'Bilfï¿½rsï¿½kring', '', '1952', '']",593,83139,0741326839,Företagskonto,SEK,2023-01-23,2023-01-23,2023-01-23,Bilförsäkring,Bg-bet. via internet,-1952.00,76493.42
