Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A532;2023-05-15;2023-05-15;1610;Fordringar;;;Kundbet Arriver Software AB (1824);;;25000
A533;2023-05-15;2023-05-15;1941;Bank F;;;Hallon Tandem;;;210
A533;2023-05-15;2023-05-15;4210;Arrangemangskostnad;KUL1;;Hallon Tandem;;210;
A534;2023-05-15;2023-05-15;1941;Bank F;;;Tryckerikostnader;;;135,14
A534;2023-05-15;2023-05-15;6150;Tryckkostnader;SAN1;;Tryckerikostnader;;135,14;
A535;2023-05-15;2023-05-15;1941;Bank F;;;Backvagnar (igen) *Lunchföreläsning IKEA;;;10350
A535;2023-05-15;2023-05-15;4210;Arrangemangskostnad;FNU1;;Backvagnar (igen) *Lunchföreläsning IKEA;;10350;
A536;2023-05-15;2023-05-15;1941;Bank F;;;Bokslut + annat smått;;;18225
A536;2023-05-15;2023-05-15;6570;Bankkostnader;ADM1;;Bokslut + annat smått;;18225;
A537;2023-05-10;2023-05-15;1943;Bank sexmästeriet;;;AXFOOD SNABBGROSS K9173;;;14492,42
A537;2023-05-10;2023-05-15;7695;Arbetskostnad;SEX1;;AXFOOD SNABBGROSS K9173;;1429,48;
A537;2023-05-10;2023-05-15;4412;Inköp pubdryck;SEX1;;AXFOOD SNABBGROSS K9173;;648,47;
A537;2023-05-10;2023-05-15;4311;Inköp mat;SEX1;;AXFOOD SNABBGROSS K9173;;12414,47;
A538;2023-05-10;2023-05-15;1943;Bank sexmästeriet;;;STORA COOP LUND K6612;;;1215,2
