Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A439;2023-03-30;2023-04-17;7695;Arbetskostnad;;;ICA KVANTUM MALMBORGS K7490;;1530,55;
A440;2023-04-20;2023-04-21;1941;Bank F;;;Kundbet CellaVision AB (1835);;38925;
A440;2023-04-20;2023-04-21;1610;Fordringar;;;Kundbet CellaVision AB (1835);;;38925
A441;2023-04-20;2023-04-21;1941;Bank F;;;Kundbet Totalförsvarets forskningsinstitut (1842);;23000;
A441;2023-04-20;2023-04-21;1610;Fordringar;;;Kundbet Totalförsvarets forskningsinstitut (1842);;;23000
A442;2023-04-20;2023-04-21;1941;Bank F;;;Kundbet EY (1839);;18000;
A442;2023-04-20;2023-04-21;1610;Fordringar;;;Kundbet EY (1839);;;18000
A443;2023-04-20;2023-04-21;1941;Bank F;;;Kundbet Unionen (1849);;18000;
A443;2023-04-20;2023-04-21;1610;Fordringar;;;Kundbet Unionen (1849);;;18000
A444;2023-04-20;2023-04-21;1941;Bank F;;;Kundbet Gigstep AB (1836);;18000;
A444;2023-04-20;2023-04-21;1610;Fordringar;;;Kundbet Gigstep AB (1836);;;18000
A445;2023-04-20;2023-04-21;1941;Bank F;;;Kundbet Axis Communications AB (1841);;18000;
A445;2023-04-20;2023-04-21;1610;Fordringar;;;Kundbet Axis Communications AB (1841);;;18000
A446;2023-04-20;2023-04-21;1941;Bank F;;;Kundbet Ella Gardner (1834);;150;
A446;2023-04-20;2023-04-21;1610;Fordringar;;;Kundbet Ella Gardner (1834);;;150
A447;2023-04-18;2023-04-21;1941;Bank F;;;Kundbet Amanda Axelsson (1831);;150;
A447;2023-04-18;2023-04-21;1610;Fordringar;;;Kundbet Amanda Axelsson (1831);;;150
A448;2023-04-11;2023-04-21;1941;Bank F;;;Kundbet Axis Communications AB (1828);;20000;
A448;2023-04-11;2023-04-21;1610;Fordringar;;;Kundbet Axis Communications AB (1828);;;20000
A449;2023-04-21;2023-04-21;1941;Bank F;;;Kundbet Electrolux Professional (1851);;;23000
A449;2023-04-21;2023-04-21;1610;Fordringar;;;Kundbet Electrolux Professional (1851);;23000;
A450;2023-04-21;2023-04-21;1941;Bank F;;;Kundbet Electrolux Professional (1837);;23000;
A450;2023-04-21;2023-04-21;1610;Fordringar;;;Kundbet Electrolux Professional (1837);;;23000
A451;2023-03-27;2023-09-03;3800;Internt (biljetter och försäljning);CAF1;;Reise catering;;;1400
A451;2023-03-27;2023-09-03;4210;Arrangemangskostnad;KUL1;;Reise catering;;1400;
A452;2023-03-31;2023-04-28;1942;Bank café;;;SC1310410717;;;3693
A452;2023-03-31;2023-04-28;4321;Inköp varor;CAF1;;SC1310410717;;3693;
A453;2023-04-03;2023-04-28;1942;Bank café;;;SC1310410952;;;15641
A453;2023-04-03;2023-04-28;5460;Förbrukningsmaterial;CAF1;;SC1310410952;Plastfilm, träbestick, kaffefilter, A-tork, grönsåpa;3662,3;
A453;2023-04-03;2023-04-28;4321;Inköp varor;CAF1;;SC1310410952;;11978,7;
A454;2023-04-11;2023-04-28;5460;Förbrukningsmaterial;CAF1;;SC1310411418;Ajax;101,7;
A454;2023-04-11;2023-04-28;4314;Inköp kaffe;CAF1;;SC1310411418;2krt + 12% moms + öresavr;1933;
A454;2023-04-11;2023-04-28;1942;Bank café;;;SC1310411418;;;9470
A454;2023-04-11;2023-04-28;4321;Inköp varor;CAF1;;SC1310411418;;7435,3;
A455;2023-04-11;2023-04-28;1942;Bank café;;;SC1310411418;;;8695
A455;2023-04-11;2023-04-28;5460;Förbrukningsmaterial;CAF1;;SC1310411418;Piplock;675,88;
A455;2023-04-11;2023-04-28;4314;Inköp kaffe;CAF1;;SC1310411418;1krt + 12% moms + öresavr;967;
A455;2023-04-11;2023-04-28;4321;Inköp varor;CAF1;;SC1310411418;;7052,12;
A456;2023-04-14;2023-04-28;1942;Bank café;;;SC1310412133;;;7002
A456;2023-04-14;2023-04-28;5460;Förbrukningsmaterial;CAF1;;SC1310412133;A-tork, handdiskmedel;829,15;
A456;2023-04-14;2023-04-28;4314;Inköp kaffe;CAF1;;SC1310412133;3krt + 12% moms + öresavr;2900;
A456;2023-04-14;2023-04-28;4321;Inköp varor;CAF1;;SC1310412133;;3272,85;
A457;2023-04-20;2023-04-28;1942;Bank café;;;Mormors 078881;;;13310
A457;2023-04-20;2023-04-28;4313;Inköp bröd;CAF1;;Mormors 078881;;13310;
A458;2023-04-17;2023-04-28;1942;Bank café;;;SC1310412318;;;1453
A458;2023-04-17;2023-04-28;4314;Inköp kaffe;CAF1;;SC1310412318;1krt + 12% moms + öresavr;967;
A458;2023-04-17;2023-04-28;4321;Inköp varor;CAF1;;SC1310412318;;486;
A459;2023-04-28;2023-06-09;1941;Bank F;;;Internöverföring;;;4400
A459;2023-04-28;2023-06-09;1944;Bank projekt;;;Internöverföring;;4400;
A460;2023-04-29;2023-04-29;1941;Bank F;;;Arbetskläder FNU;;;4897
A460;2023-04-29;2023-04-29;5480;Arbetskläder;FNU1;;Arbetskläder FNU;;4897;
A461;2023-04-29;2023-04-29;1941;Bank F;;;Batterier 1;;;1348
A461;2023-04-29;2023-04-29;2173;Reparationsfonden;;;Batterier 1;;1348;
A462;2023-04-29;2023-04-29;1941;Bank F;;;Lokalhyra Skiftes;;;14631
A462;2023-04-29;2023-04-29;7693;Skifteskostnad;SEX1;;Lokalhyra Skiftes;;14631;
A463;2023-04-29;2023-04-29;1941;Bank F;;;Kontorsmaterial;;;3816
A463;2023-04-29;2023-04-29;6110;Kontorsmateriel;ADM1;;Kontorsmaterial;;3816;
A464;2023-04-29;2023-04-29;1941;Bank F;;;Batterier 2;;;1607
A464;2023-04-29;2023-04-29;2173;Reparationsfonden;;;Batterier 2;;1607;
A465;2023-04-12;2023-09-25;1942;Bank café;;;IZettle Avgift Lp4 Lv3;;;825,51
A465;2023-04-12;2023-09-25;6571;Transaktionsavgifter;ADM1;;IZettle Avgift Lp4 Lv3;;825,51;
A466;2023-04-12;2023-04-29;1942;Bank café;;;IZettle KM Lp4 Lv3;;39064;
A466;2023-04-12;2023-04-29;3110;Biljetter;KUL1;;IZettle KM Lp4 Lv3;Tandem;;25974
A466;2023-04-12;2023-04-29;3110;Biljetter;KUL1;;IZettle KM Lp4 Lv3;Skvalborg;;13090
A467;2023-04-29;2023-04-29;1941;Bank F;;;Tandemutrustning;;;1470,8
A467;2023-04-29;2023-04-29;6610;Inköp inventarier;KUL1;;Tandemutrustning;;1470,8;
A468;2023-04-29;2023-04-29;1941;Bank F;;;Sprayfärg;;;149,8
A468;2023-04-29;2023-04-29;6610;Inköp inventarier;KUL1;;Sprayfärg;;149,8;
